No,gender,age,age_group,edu,job,region,DTMC1,DTMC2,DTMC3,DTMC4,DTMC5,DTMC6,DTNC1,DTNC2,DTNC3,DTNC4,DTNC5,DTNC6,DTPS1,DTPS2,DTPS3,DTPS5,DTPS6,DTPS7,DTSD1,DTSD2,DTSD3,DTSD5,DTSD6
1001,1,40,3,2,7,1,3,2,4,4,2,2,1,2,3,2,2,2,3,2,2,2,3,2,2,3,3,2,1
1002,2,61,5,3,7,5,3,2,4,2,4,2,3,3,3,3,4,4,3,2,2,2,2,2,1,1,2,2,2
1003,1,56,4,3,4,10,3,3,4,3,3,2,3,3,3,4,3,3,2,3,2,3,2,3,2,3,3,4,3
1004,2,42,3,2,7,9,4,3,3,3,3,3,2,3,3,3,3,3,2,3,2,2,2,3,2,2,2,4,3
1005,1,56,4,3,7,1,4,3,4,1,5,1,3,3,3,3,3,3,3,4,3,1,1,1,4,1,1,1,1
1006,1,44,3,3,4,1,2,4,4,3,3,4,3,3,2,2,3,3,4,3,3,2,3,3,2,2,3,4,3
1007,1,66,5,3,4,1,3,3,4,3,4,3,4,3,3,4,3,2,3,3,3,2,3,3,2,3,3,2,3
1009,1,48,3,4,4,1,4,4,4,4,4,4,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,5,1
1010,2,43,3,3,7,9,4,3,3,2,4,3,2,4,4,3,3,4,1,2,1,1,1,4,2,4,2,4,2
1012,2,31,2,3,4,9,4,3,4,3,3,3,2,2,2,2,2,2,3,3,2,1,1,1,1,1,1,1,1
1013,2,30,2,3,4,9,3,3,4,3,4,2,2,2,2,3,3,2,2,3,3,2,2,2,2,2,2,4,3
1014,1,45,3,3,4,9,2,3,3,2,4,2,3,3,3,2,4,4,1,2,1,1,2,2,4,1,2,4,2
1015,2,32,2,3,4,1,4,4,4,3,4,2,3,3,4,4,4,4,1,3,1,1,1,1,1,1,4,1,1
1016,1,42,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,3,3,3,2,3
1017,1,55,4,3,3,1,5,5,5,3,5,3,5,5,4,4,4,5,2,4,2,4,3,4,2,2,1,5,1
1018,2,31,2,4,4,9,5,1,4,2,2,2,1,2,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1
1019,2,61,5,2,3,9,4,2,4,2,4,2,3,3,3,3,3,2,2,2,2,3,2,3,2,1,1,1,1
1020,2,31,2,3,10,9,4,3,5,2,4,2,4,4,4,3,2,1,3,5,5,2,3,3,1,1,1,5,1
1023,2,60,5,2,9,9,3,2,3,3,3,2,2,3,3,3,3,3,1,2,2,3,2,3,2,1,2,2,2
1024,1,45,3,3,4,1,2,3,4,4,2,3,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,4,2
1025,2,23,1,3,10,2,5,4,5,1,4,4,4,3,3,3,3,4,5,4,4,1,1,1,1,2,1,1,1
1026,1,62,5,2,4,6,4,3,2,3,3,2,2,2,2,2,2,2,2,4,3,2,3,2,2,2,2,3,2
1027,2,53,4,3,7,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3,1
1028,2,47,3,2,9,1,4,3,4,4,4,2,3,3,3,2,2,3,2,3,1,4,3,2,1,1,1,1,1
1030,1,47,3,3,4,1,3,2,3,3,4,3,3,2,3,4,3,3,4,3,2,3,4,3,3,3,3,3,2
1031,2,45,3,3,5,1,5,3,4,2,3,2,4,4,4,4,4,4,2,4,2,2,4,3,1,1,1,1,1
1033,1,27,1,3,4,9,4,2,4,4,4,4,4,4,4,4,3,4,1,2,1,1,2,2,2,3,4,4,1
1034,2,29,1,3,4,1,3,2,4,3,3,3,2,2,2,2,3,4,1,4,3,2,2,3,1,1,2,4,2
1035,1,37,2,2,4,8,2,2,2,2,4,2,3,3,2,2,3,3,3,3,2,1,2,2,2,5,2,5,1
1038,1,43,3,3,1,9,3,4,3,3,3,2,3,3,2,3,4,3,2,3,3,3,4,3,3,3,3,3,3
1039,1,51,4,3,6,1,4,3,4,4,3,4,3,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4
1040,1,26,1,4,5,1,5,5,5,4,5,4,2,3,3,2,4,4,3,2,3,2,4,4,2,3,4,4,1
1041,2,32,2,2,4,3,4,3,4,2,4,2,3,3,2,2,3,3,3,3,2,1,1,1,1,2,3,2,1
1043,2,62,5,3,9,13,4,3,3,1,4,1,2,3,3,2,2,2,1,3,1,1,2,2,1,1,1,4,2
1044,2,63,5,4,9,1,4,3,3,3,3,3,2,3,3,3,3,2,4,3,3,2,3,3,3,3,2,4,1
1046,2,50,4,3,7,9,3,2,4,3,4,2,2,3,3,2,4,4,2,4,2,2,2,2,2,1,2,4,1
1047,1,60,5,3,4,9,4,3,4,3,3,3,3,3,3,3,4,3,1,3,1,2,2,2,2,1,3,4,2
1049,2,25,1,3,10,1,2,2,4,2,3,4,4,4,5,5,5,5,2,4,2,4,2,3,1,1,1,4,1
1050,1,47,3,3,4,1,3,4,3,3,3,3,4,4,3,4,4,3,2,2,3,3,4,4,3,3,2,3,3
1053,1,27,1,2,1,2,5,4,4,2,3,2,3,3,3,4,2,4,4,3,3,2,3,3,4,4,3,4,3
1054,2,25,1,3,7,1,4,2,3,2,3,2,2,3,3,3,2,2,1,3,2,2,2,3,2,3,2,3,1
1055,1,52,4,2,4,3,2,2,2,3,3,2,4,3,3,4,4,3,1,1,1,2,3,4,1,1,1,4,2
1058,1,35,2,3,10,9,2,3,3,2,3,2,3,2,3,2,3,4,3,2,3,3,3,2,3,3,4,3,2
1059,1,40,3,3,4,9,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,4,3,2,1,2,1,3,1
